1,Denmark,DNK,128,EU,1,91,7,2.2,87,95,83,98,0,97,0,96,98,0,87,89,88,83,0,0,0
1,New Zealand,NZL,196,AP,1,91,7,2.3,87,95,83,98,0,97,0,89,98,0,96,86,88,83,0,0,0
3,Finland,FIN,172,EU,3,89,7,1.7,86,92,83,98,0,89,0,89,98,0,90,87,88,83,0,0,0
3,Sweden,SWE,144,EU,3,89,7,2.3,85,93,83,98,0,97,0,83,98,0,86,89,88,83,0,0,0
5,Norway,NOR,142,EU,5,86,7,2.3,82,90,80,98,0,81,0,80,98,0,85,88,88,83,0,0,0
5,Singapore,SGP,576,AP,5,86,9,2.3,82,90,75,99,0,0,75,87,79,0,88,84,88,83,88,99,0
7,Switzerland,CHE,146,EU,7,85,6,2.5,81,89,73,89,0,89,0,85,89,0,85,0,88,73,0,0,0
8,Netherlands,NLD,138,EU,8,83,7,2,80,86,73,89,0,73,0,82,89,0,82,87,88,83,0,0,0
9,Australia,AUS,193,AP,9,81,8,1.5,79,83,74,88,0,81,0,78,79,0,74,83,88,83,81,0,0
9,Canada,CAN,156,AM,9,81,7,2.4,77,85,72,89,0,81,0,78,89,0,72,74,88,83,0,0,0
11,Luxembourg,LUX,137,EU,11,80,6,2.9,75,85,71,89,0,81,0,77,89,0,87,0,71,73,0,0,0
12,Germany,DEU,134,EU,12,78,8,2.4,74,82,73,89,0,73,0,79,89,0,73,75,88,73,0,74,0
12,Iceland,ISL,176,EU,12,78,6,2.8,73,83,71,89,0,73,0,84,89,0,76,0,71,73,0,0,0
14,United Kingdom,GBR,112,EU,14,76,8,1.3,74,78,71,81,0,73,0,80,79,0,81,73,71,73,0,77,0
15,Barbados,BRB,316,AM,15,75,3,7.1,63,87,64,88,0,0,0,0,0,0,64,0,88,73,0,0,0
15,Belgium,BEL,124,EU,15,75,7,2.3,71,79,71,89,0,73,0,74,89,0,76,72,71,73,0,0,0
15,Hong Kong,HKG,532,AP,15,75,8,2.4,71,79,65,83,0,0,0,76,69,0,83,83,71,73,65,82,0
18,Japan,JPN,158,AP,18,74,9,2.4,70,78,57,81,0,57,0,79,79,0,81,78,71,73,79,73,0
19,Uruguay,URY,298,AM,19,73,6,1.4,71,75,69,79,0,0,79,0,69,0,72,71,71,73,0,0,0
19,United States,USA,111,AM,19,73,9,4,66,80,50,89,0,89,0,74,69,0,64,71,88,73,76,50,0
21,Ireland,IRL,178,EU,21,72,6,4.2,65,79,54,83,0,73,0,83,69,0,82,0,54,73,0,0,0
22,Bahamas,BHS,313,AM,22,71,3,1,69,73,69,73,0,0,0,0,69,0,0,0,71,73,0,0,0
22,Chile,CHL,228,AM,22,71,9,1.8,68,74,63,79,0,65,75,77,79,0,73,67,71,73,0,63,0
22,France,FRA,132,EU,22,71,8,2.4,67,75,57,79,0,57,0,72,79,0,68,74,71,73,0,77,0
22,Saint Lucia,LCA,362,AM,22,71,3,0.8,70,72,70,73,0,0,0,0,0,70,0,0,71,73,0,0,0
26,Austria,AUT,122,EU,26,69,8,3.2,64,74,54,81,0,81,0,64,79,0,67,71,54,63,0,74,0
26,United Arab Emirates,ARE,466,ME,26,69,7,4.7,61,77,54,87,0,0,58,81,60,0,87,68,54,73,0,0,0
28,Estonia,EST,939,EU,28,68,9,2.7,64,72,54,81,0,81,75,70,60,0,70,71,54,63,0,0,66
28,Qatar,QAT,453,ME,28,68,6,7.2,56,80,45,92,0,0,45,78,50,0,92,0,71,73,0,0,0
30,Botswana,BWA,616,AF,30,64,7,1.6,61,67,60,71,65,0,62,0,60,0,60,69,71,63,0,0,0
31,Bhutan,BTN,514,AP,31,63,4,2.6,59,67,57,70,0,0,62,0,0,70,57,0,0,63,0,0,0
31,Cyprus,CYP,423,EU,31,63,5,3.9,57,69,49,71,0,49,0,0,69,0,61,0,71,63,0,0,0
33,Portugal,PRT,182,EU,33,62,7,3,57,67,54,73,0,73,0,55,60,0,57,61,54,73,0,0,0
33,Puerto Rico,PRI,,AM,33,62,3,6,52,72,51,71,0,0,0,0,0,0,51,0,71,63,0,0,0
33,Saint Vincent and the Grenadines,VCT,364,AM,33,62,3,5.6,53,71,54,73,0,0,0,0,0,58,0,0,54,73,0,0,0
36,Israel,ISR,436,ME,36,61,6,1.6,58,64,54,65,0,65,0,64,60,0,63,0,54,63,0,0,0
36,Taiwan,TWN,528,AP,36,61,7,4.3,54,68,49,79,0,0,79,62,50,0,61,0,54,73,49,0,0
38,Brunei,BRN,516,AP,38,60,3,10.4,43,77,41,76,0,0,0,0,41,0,76,0,0,63,0,0,0
38,Poland,POL,964,EU,38,60,10,2.3,56,64,50,73,0,73,66,55,50,0,52,65,54,63,0,63,58
40,Spain,ESP,184,EU,40,59,7,4.9,51,67,41,73,0,57,0,41,69,0,46,73,71,52,0,0,0
41,Cape Verde,CPV,624,AF,41,58,4,4.8,50,66,49,70,62,0,0,0,0,70,49,0,0,52,0,0,0
41,Dominica,DMA,321,AM,41,58,3,2.3,54,62,54,63,0,0,0,0,0,58,0,0,54,63,0,0,0
43,Lithuania,LTU,946,EU,43,57,8,3.8,51,63,41,71,0,65,66,48,41,0,48,0,71,63,0,0,55
43,Slovenia,SVN,961,EU,43,57,9,3.6,51,63,36,73,0,57,62,36,60,0,47,55,54,73,0,0,68
45,Malta,MLT,181,EU,45,56,5,2.4,52,60,49,63,0,49,0,0,60,0,54,0,54,63,0,0,0
46,Korea (South),KOR,542,AP,46,55,10,2.4,51,59,44,67,0,57,58,59,50,0,44,67,54,52,46,66,0
47,Hungary,HUN,944,EU,47,54,10,3.6,48,60,35,71,0,49,58,35,50,0,39,65,71,63,0,57,55
47,Seychelles,SYC,718,AF,47,54,4,8.2,41,67,32,71,32,0,0,0,0,0,59,0,71,52,0,0,0
49,Costa Rica,CRI,238,AM,49,53,5,4.1,46,60,41,66,0,0,66,0,41,0,50,0,54,52,0,0,0
49,Latvia,LVA,941,EU,49,53,8,3.6,47,59,41,73,0,73,53,43,41,0,49,0,54,52,0,0,60
49,Rwanda,RWA,714,AF,49,53,5,5.7,44,62,40,74,52,0,40,0,0,47,74,0,0,52,0,0,0
52,Mauritius,MUS,684,AF,52,52,5,1.1,50,54,49,55,55,0,49,0,0,0,51,0,54,52,0,0,0
53,Malaysia,MYS,548,AP,53,50,9,3.4,44,56,31,62,0,0,49,57,41,0,61,62,54,42,53,31,0
